Date	Type	URL	Title	Topic	Summary
2015-04-27	Paper	http://ccr.sigcomm.org/online/files/p83-keshavA.pdf	How to Read a Paper	Meta	Classic short text presenting a three-step approach to reading academic papers efficiently. The first pass should be a very short weed-out pass: what are the conclusions, what is the impact, is it likely to be correct, is it relevant to your research. The second pass is there to find flaws in the argument (requires getting a good understanding of the main argument). If the paper is not 100% relevant to your research, stop now. Otherwise, the third pass is the deconstruction piece: what are the strong/weak points of the paper, reach the same conclusions as the paper given the same assumptions, what are good avenues for future work.
2015-04-26	Paper	http://olivier.chapelle.cc/pub/tnn99.pdf	SVMs for Histogram-Based Image Classification	Computer Vision	The paper makes a case for using color histograms for image representation: invariant under scale, rotation, translation, easy to compute. They use linear SVMs and SVMs with fancy kernels on top of the color histogram representation. They find that exponentiating the histogram bins (x_i := x_i^a for 0 <= a <= 1) makes linear SVMs perform almost as well as fancy SVMs.
2015-04-26	Article	http://techblog.netflix.com/2015/04/learning-personalized-homepage.html	Learning a Personalized Homepage	Machine Learning	Netflix's uses a three-step approach to page generation: first predict how a user would score a particular title, from this generate rows of content and then select which rows to show and in which order. All fairly standard stuff but for one interesting point: in order to avoid having monotonous content on the page, they score each row individually and combine it with a score relative to its neighbours to increase diversity.
2015-04-26	Article	http://tech.grammarly.com/blog/posts/How-to-Split-Sentences.html	How to Split Sentences	Natural Language Processing	Comparison of some off-the-shelf sentence splitters. Stanford CoreNLP (finite-state-machine word-tokenization first, then sentence grouping) and OpenNLP (word-boundary detection as a classification problem) have very low error rates. Regular expression based approaches work less well. The analysis should be taken with a grain of salt (they only used a single source of documents, reporting point-estimates instead of cross-validation results, etc.) but is likely a good starting point when prioritizing what sort of sentence splitter to try first on one's own dataset.
2015-04-16	Article	https://hbr.org/2012/10/data-scientist-the-sexiest-job-of-the-21st-century	Data Scientist: The Sexiest Job of the 21st Century	Data Science	Lots of hype around this article so it had to be read eventually. Turns out that the piece is a surprisingly good birds-view description of the who-what-why-and-where of data science. Great article to send to non-technical folk who are curious about the field.
2015-04-16	Article	http://fotiad.is/blog/sentiment-analysis-comparison	A comparison of open source tools for sentiment analysis	Natural Language Processing	The author compares a number of different approaches to sentiment analysis. The first approach is based on bag-of-words plus Naive Bayes. The second approach is based on lexicons: words are associated with a positive or negative score and word-scores are aggregated over the entire text. (Immediate concern: the approach requires word sense disambiguation - this is a really hard problem! The author uses the standard naive WordNet-overlap approach.) The third approach uses the deep-net classifier that is part of Stanford CoreNLP. (Immediate concern: the classifier is trained on data from an entirely different domain.) The Naive Bayes approach beats out the other two, achieving about 90% accuracy. The result is somewhat unsurprising as the lexicon approach is constrained by the guaranteed poor performance of the author's word-sense disambiguation technique and the CoreNLP deep-net is trained on out-of-domain data. The text shows - once again - the power of simple methods like bag-of-words, but the results shouldn't be taken too seriously. A more interesting comparison would have re-trained the deep-net to answer the question how much a learned representation of the text improves classification performance.
2015-03-29	Video	https://www.youtube.com/watch?v=5Dnw46eC-0o	Statistics Without the Agonizing Pain	Statistics	Interesting take on using experiments and computational methods like randomized permutations or boostrapping to understand statistical phenomena instead of relying on difficult to understand formulae.
2015-03-22	Paper	http://www.cs.ubc.ca/research/flann/uploads/FLANN/flann_visapp09.pdf	Fast Approximate Nearest Neighbors With Automatic Algorithm Configuration	Machine Learning	They released an algorithm that selects the fastest nearest-neighbor search algorithm for some data-set. For most data-sets (even in high dimensions), it turns out that searching trees of hierarchical k-means clusters or randomized kd-trees work well. It is not surprising but nevertheless interesting that decomposing a hard problem in high dimensions into many smaller problems in lower dimensions works well.
2015-03-22	Paper	http://vision.ece.ucsb.edu/~zuliani/Research/RANSAC/docs/RANSAC4Dummies.pdf	RANSAC for dummies	Statistics	Regression algorithm that can was designed to deal with lots of outliers; the algorithm can handle more than half of the data-set being outliers. First, we create random minimal sample sets from the data. The size of these sets should be just big enough to fit our regression e.g., two elements for a two-dimensional feature space. We then fit a regression to the minimal sample sets and check how many points in the full data-set are consistent with this regression up to some delta of error. Iterate a fixed number of times or until the consensus set is large enough. Problems: how do we determine the error threshold and minimal acceptable consensus set size?
2015-03-22	Paper	http://arxiv.org/pdf/1502.01710v1.pdf	Text Understanding from Scratch	Natural Language Processing	They train a convolutional neural network on raw text (input features are non-overlapping windows of characters). They create additional noisy training data by replacing words in their training sentences with synonyms taken out of a dictionary which helps in making the network more invariant under non-semantic changes (like adding noise in speech recognition or scaling/rotating input images in computer vision). They apply the model to a bunch of different task such as predicting the star-rating of an Amazon review based on sentiment, predicting the ontological category of a DBpedia article and categorizing news into topics. They get pretty good results, out-performing their baseline implementations of bag-of-words and word2vect. The paper is pretty cool because it demonstrates once again that we probably don't need to engineer features when using neural networks and large enough training data!
2015-03-21	Article	http://www.win-vector.com/blog/2015/02/does-balancing-classes-improve-classifier-performance	Does Balancing Classes Improve Classifier Performance?	Machine Learning	The article experimentally explores how over-sampling a minority class affects classification performance of logistic regression, random forest and soft-margin support vector machine. Turns out that over-sampling is a really bad idea for logistic regression (logistic regression calibrates well to the distribution of the data so fudging the distribution will naturally affect performance), does not affect support vector machine (the training procedure is not strongly dependent on class distribution: performance depends on class distance from the margin - if both classes are far away from the margin, their distribution doesn't matter much) and improves performance of random forest. On the bright side: over-sampling will necessarily increase recall.
2015-03-21	Article	http://www.kdnuggets.com/2015/03/machine-learning-data-science-common-mistakes.html	7 common mistakes when doing Machine Learning	Machine learning	Don't always use the default loss function (e.g. Huber loss is good to not heavily penalize outliers and hinge loss is good to not penalize small mistakes). Add interaction terms to achieve non-linearity when using linear models, e.g. logistic regression. Always check for outliers! Always standardize features when using regularization. Coefficient sizes of linear models not always interpretable as feature importance, e.g. when attributes co-linear or not standardized.
2015-03-21	Article	http://technology.stitchfix.com/blog/2015/03/17/grammar-of-data-science	The Grammar of Data Science	Data Visualization	The article compares using R over Python for exploratory data analysis and gives some compelling arguments in favour of R. Most interestingly, R is able to plot categorical versus numeric data out of the box!
2015-03-21	Article	http://engineering.intenthq.com/2015/02/automatic-topic-modelling-with-lda	Automatic topic-modelling with Latent Dirichlet Allocation	Natural Language Processing	Useful comparison of a bunch of different LDA libraries, e.g. MALLET is no longer being developed and we should probably all be using GenSim due to focus on performance and ease-of-use.
2015-03-21	Article	http://blog.echen.me/2014/10/07/moving-beyond-ctr-better-recommendations-through-human-evaluation	Moving Beyond CTR: Better Recommendations Through Human Evaluation	Machine Learning	Interesting essay on trying to move away from click-through-rate as the main way of evaluating the performance of recommender systems. The article argues that click-through-rate is expensive to experiment with (requires full-scale A/B test) and is a poor proxy for quality of recommendations (clicks do not necessarily imply satisfaction with the content). The article argues that we should be using human evaluation to validate new recommenders (which also allows us to get feedback while building a new algorithm, not only once we're done and productionized). Obviously, there are some issues with the approach recommended by the article: it is hard to scale human evaluation and there is no jeopardy for the participant, i.e. although they might say that they are satisfied with some recommendation, that does not necessarily translate into purchase intent given that agreeing with some recommendation does not cost the participant anything. Using human evaluation during the prototyping phase of recommender development, on the other hand, does sound appealing.
2015-03-04	Article	http://hunch.net/?p=22	Clever Methods of Overfitting	Machine Learning	Good enumeration of different ways in which we can over-fit models, ranging from the classic 'too complex model with too little data' over to 'too finely tuned meta-parameters' to more subtle points like choosing the metric that makes our algorithm look good or choosing metrics that are inherently prone to over-fitting (like entropy, mutual information or leave-one-out cross validation).
2015-02-21	Book	http://www.amazon.co.uk/dp/B008HMN5BE/	Data Jujitsu: The Art of Turning Data into Product	Data Science	Interesting diatribe porting some of the lean-agile principles to data-based products. E.g. validate product idea before investing in fancy algorithms and systems (c.f. Amazon building simple collaborative filtering to validate need for recommender systems, c.f. Using humans as initial version of a machine learning system). E.g. trade-off precall for precision when machine learning system has accountability i.e. explains what it's doing: false positives are more costly in terms of user trust. E.g. ground user's expectations: under-promise and over-deliver. E.g. use humans in the loop (c.f. LinkedIn's recommend this recommended job to a friend acts both as a buffer to not disappoint users with bad recommendations and as a way to get good training data on which jobs are relevant). E.g. engage users with the product (c.f. Give access to user's data so that they can feel in charge and clean it up). E.g. try to collect highest quality data possible (c.f. Limit number of free-text fields, pre-populate fields, etc.).
2015-02-20	Book	http://www.amazon.co.uk/dp/B00TKGY0GU/	Effective Python: 59 Specific Ways to Write Better Python	Software Engineering	Much more language specific than 'Effective Java'. Most of the stuff in here would probably be of most use to advanced beginners and should be obvious to anyone with some experience (Pythonic Thinking, Functions, Classes and Inheritance, Built-in Modules, Collaboration, Production). Some of the contents I found useful (descriptors, metaclasses, concurrency),
2015-02-18	Paper	http://www.uni-weimar.de/medien/webis/publications/papers/lipka_2010.pdf	Comparison of Language Identification Approaches on Short, Query-Style Texts	Natural Language Processing	Very short paper looking at different ways to determine the language of short fragments of text. They find that using an n-gram based classifier approach they can achieve almost 100% accuracy, beating vector space models and language models. This means that we probably have some highly discriminative n-grams between languages and a lot of non informative n-grams (consistent with what we'd expect intuitively). I was able to reproduce their result that using an n-gram based classifiers solves this problem almost perfectly.
2015-02-18	Paper	http://static.googleusercontent.com/media/research.google.com/en//pubs/archive/37195.pdf	Detecting Adversarial Advertisements in the Wild	Machine Learning	Interesting paper from Google on how much work goes into using relatively simple machine learning techniques (stochastic gradient descent) in an industry setting (learning at scale, high cost of mistakes, human-in-the-loop, changing data over time). The sections on monitoring and adapting their systems in production is especially interesting. When they re-train the production model, the new model must pass some precision/recall tests on held out data before it gets promoted to production. They also monitor the distribution of the input features and output decisions to assert that they stay reasonable similarly distributed/relevant over time.
2015-02-18	Paper	http://jmlr.csail.mit.edu/papers/volume15/delgado14a/delgado14a.pdf	Do we Need Hundreds of Classifiers to Solve Real World Classification Problems?	Machine Learning	The paper compares the performance of 179 implementations of assorted classifiers on 121 open data-sets without any data pre-processing or feature engineering. They find that random-forests and SVMs with non-linear kernels have the best performance on average in binary and multi-class settings.
2015-02-18	Article	https://hbr.org/2014/05/10-kinds-of-stories-to-tell-with-data/	10 Kinds of Stories to Tell with Data	Data Science	Taxonomy of different types of analytics stories along dimensions. Time: reporting (describing the past), surveying (explaining the present), predicting (modelling the future). Focus: what is going on, why is it going on, how to fix it. Methods: correlation story, causation story (requires experiment).
2015-02-18	Article	http://deloitte.wsj.com/cio/2015/02/10/why-data-storytelling-is-so-important-and-why-were-so-bad-at-it/	Why Data Storytelling is So Important, and Why We're So Bad at It	Data Science	Mostly fluff/obvious piece about why adding a story to data analysis is important (more easily understood by stakeholders, etc.), but with one interesting point. Given that there are supposedly only 7 types of literary narratives, using stories to communicate the results of data analytics might enable us to standardize the stories we tell with the analytics to a similar set of standard pieces. This will make it easier to communicate the high level picture of the analysis.
2015-02-13	Article	https://www.chrisstucchio.com/blog/2015/dont_use_bandits.html	Don't use Bandit Algorithms - they probably won't work for you	Statistics	Explanation of the underlying assumptions in some of the classic bandit algorithms and how frequent real-world experiment settings violate these (leading to worse performance than standard A/B tests). E.g. bandits assume no delay between impulse and response (real world conversion can take days). E.g. bandits assume uniform response rate (real world conversion and levers can be correlated).
2015-02-13	Article	http://www.kdnuggets.com/2015/02/10-things-statistics-big-data-analysis.html	10 things statistics taught us about big data analysis	Statistics	Some stats tricks relevant to machine learning. E.g. time-series data should be smoothed for better results. E.g. explicitly address confounding factors like inter-class variance over time.
2015-02-13	Article	http://www.firstclassanalytics.com/is-a-low-r-squared-statistic-a-bad-thing.html	Is A Low R-Squared Statistic A Bad Thing?	Statistics	The article argues that a low R^2 statistic for a regression model is not a bad thing for a model if the model attributes have good p-values -- low R^2 might simply mean that there are other attributes outside of our model that explain some of the variance in the data, not that the model we have is bad. We shouldn't indiscriminately add attributes to a model just to increase R^2 (as a matter of fact, the more attributes we add the higher R^2 is likely to be) but be judicious in choosing which attributes to add in adding more attributes (domain knowledge, p-values).
2015-02-08	Paper	http://www.kurims.kyoto-u.ac.jp/EMIS/journals/RCE/V35/v35n2a03.pdf	Comparison between SVM and Logistic Regression: Which One is Better to Discriminate?	Machine Learning	Theoretical and experimental comparison of Support Vector Machines versus Logistic Regression. When the data is multi-variate, drawn from a mixture of distributions or strongly correlated SVM is better. SVM can also achieve better results with fewer features. Logistic Regression is better for some underlying distributions in the data (Poisson, Exponential, Normal).
2015-02-08	Paper	http://onlinelibrary.wiley.com/doi/10.1002/uog.2791/pdf	Support vector machines versus logistic regression: improving prospective performance in clinical decision-making	Machine Learning	Fairly one-sided comparison of logistic regression and support vector machines. The paper claims that the latter is less likely to over-fit, better handles outliers and can better handle non-linearities in the data via kernels. The paper backs the claims up by comparing the performances of the two classifiers on data-sets with less than 100 examples.
2015-02-04	Article	http://svds.com/post/avoiding-common-mistake-time-series	Avoiding a common mistake with time series	Statistics	Cautionary tale about how trends in time series data can lead to strong correlations in unrelated data: if the trend is large compared to the actual data, the correlation between trends will overwhelm the non-correlation between the data. Work around: model the trend explicitly e.g. using linear regression and subtracting the fit or use differences between data points instead of raw data.
2015-02-04	Article	http://scikit-learn.org/stable/tutorial/machine_learning_map/	Choosing the right estimator	Machine Learning	Awesome task-to-algorithm decision tree made by the Scikit-learn team. Gives a nice overview of which machine learning algorithms are canonical for what sorts of problems and requirements.
2015-02-01	Article	https://jmetzen.github.io/2015-01-29/ml_advice.html	Advice for applying Machine Learning	Data Science	Some interesting guidelines on how to get started tackling a new dataset. E.g., when data-dimensionality is low, use a correlation plot as a cheap way to separate noisy features from informative features and to filter out correlated features. E.g., plot learning curve to visualize difference in training versus cross-validation error. If training error is much higher than cross-validation error, we are likely over-fitting (fix by using more training data, stronger regularization or L1 regularization to force feature sparsity). If training error is very high, we are likely under-fitting i.e., using the wrong model for the data (fix by adding more features or non-linear kernels). E.g., use progressive validation when there is too much data for cross-validation: train model in batches, evaluate the model on the next batch, add the batch to the training data, re-evaluate and check how well we adapted to the new data - when we no longer improve, might as well stop training.
2015-01-25	Paper	http://arxiv.org/pdf/1411.4555v1.pdf	Show and Tell: A Neural Image Caption Generator	Natural Language Processing	Google using deep neural nets to achieve infuriatingly good results in image description generation: 3x improvement in BLEU over the state of the art. What's the secret-sauce? They train a neural network on raw images and then feed that into a language generation neural network that predicts word N+1 in the description using the image representation generated by the image recognizer and words 1..N in the training descriptions (basically like decoding in machine translation).
2015-01-19	Paper	http://static.googleusercontent.com/media/research.google.com/en//pubs/archive/43146.pdf	Machine Learning: The High-Interest Credit Card of Technical Debt	Software Engineering	Lessons from real-world machine learning at Google. The paper mentions several anti-patterns to avoid and how to address them. E.g. entanglement/tight coupling/changing anything changes everything. It's easy to build v1 of a machine learning system, very complicated to make changes without changing the behavior of the entire model. Mitigation: metrics for all the dimensions, ensembling, better regularization. E.g. hidden feedback loops. Behavior of system affects future training data. Mitigation: ... un-solved problem. E.g. unstable data dependencies. Changes in input data sources can affect behavior of model. Mitigation: data versioning, but this is expensive in terms of engineering. E.g. underutilized features. Features with small improvement in model performance carry high cost and risk (see unstable data dependencies). Mitigation: regularly evaluate features and prune mercilessly. E.g. correction cascades. Models that use other models as features lead to coupling and make it more difficult to improve the models because of complex effects on the down-stream models. Mitigation: add the extra features of the down-stream model directly to the upstream-model. E.g. glue code. Interfacing with machine learning systems lead to glue code to adapt to the interface. Usually this means tight-coupling with particular versions. Mitigation: re-write the algorithms in the system language. E.g. monitoring. Difficult to know the correct behavior of a constantly adapting system. Mitigation: assert that observed and predicted priors are similar and threshold model confidence before taking action.
2015-01-18	Book	http://www.amazon.co.uk/dp/0321213351/	Refactoring to Patterns	Software Engineering	Not sure how useful this book is. On one hand, the text offers a good introduction to some of the more widely used patterns - much more approachable than the Gang-of-Four book. On the other hand, because the book focuses on the more readily applicable patterns, I found there to be little value or news in the text.
2015-01-18	Article	http://engineering.shapesecurity.com/2015/01/detecting-phantomjs-based-visitors.html	Detecting Phantom JS-based visitors	Software Engineering	Interesting post talking about how to detect headless browsers. Most of the tips are fairly specific to Phantom JS, however, the post nicely shows the mindset to have if one truly wants to get rid of headless traffic: know and exploit the quirks in the headless rendering engines or use delay-based approaches.
2014-12-07	Paper	http://storm.cis.fordham.edu/gweiss/papers/dmin07-weiss.pdf	Cost-Sensitive Learning vs. Sampling: Which is Best for Handling Unbalanced Classes with Unequal Error Costs?	Machine Learning	Two main approaches. 1. Use a cost sensitive algorithm i.e. encode a penalty for wrong classifications of a particular class in the objective function. 2. Use sampling to make the data-ratios more equal. Sampling is the way to go when there is no cost-sensitive version of the preferred learning algorithm or when we need to subsample the data anyway e.g. because we have too much of it. If we don't know the correct class weights, we should use area under ROC curve as objective function to find the correct sampling rate or class weights. For small data-sets, don't use under-sampling because we can't afford to reject training examples and cost-sensitive learning might be worse than over-sampling because the classifier doesn't have enough data-points to estimate the correct class weights. For large data-sets cost-sensitive learning is usually best.
2014-12-07	Paper	http://arxiv.org/pdf/1106.1813.pdf	SMOTE: Synthetic Minority Over-sampling Technique	Machine Learning	Better than over-sampling with replacement: create artificial examples by interpolating between k-nearest-neighbours. This leads to larger and less specific decision boundaries instead of over-sampling's more specific boundaries i.e. less chance of over-fitting. Extensions of the technique to non-numeric features exist.
2014-12-07	Article	http://blog.david-andrzejewski.com/machine-learning/practical-machine-learning-tricks-from-the-kdd-2011-best-industry-paper	Practical machine learning tricks from the KDD 2011 best industry paper	Machine Learning	Some useful machine learning in the wild tricks from Google: use ensemble methods, get a human into the loop on low-confidence data-points, use many features and let L1 regularization trim the space down, avoid having to classify entries by ranking them instead (easier), monitor performance of system in the wild (e.g. permanently re-compute model precision and recall).
2014-11-30	Book	http://www.amazon.co.uk/dp/0978739213/	Release It!: Design and Deploy Production-Ready Software	Software Engineering	This book was a real mixed bag. On one hand, a lot of the advice in the book seemed quite technology specific and will probably be out-of-date sooner rather than later. On the other hand, there was a lot of good stuff in here about how to build robust and failure-tolerant systems and architecture. Just being aware of the patterns and failure-modes that the book talks about made me think differently about my day-to-day work. This is one to be re-visited further down the road of the software developer journey.
2014-11-26	Article	http://www.theverge.com/2014/11/25/7276157/nanogenmo-robot-author-novel	The strange world of computer-generated novels	Natural Language Processing	Very cool NLG idea: spend November (NaNoWriMo) writing a program to generate a novel.
2014-11-25	Article	http://web.stanford.edu/~mwaskom/software/seaborn	Seaborn: statistical data visualization	Libraries	Wrapper around Matplotlib to make simple plot creation easier.
2014-11-25	Article	http://geoffboeing.com/2014/08/clustering-to-reduce-spatial-data-set-size	Clustering to Reduce Spatial Data Set Size	Machine Learning	Comparison of K-Means and DBSCAN clustering algorithms. Naturally the later wins because it is able to infer the number of clusters automatically and does not suffer from initialization problems.
2014-11-25	Article	http://fnl.es/a-review-of-sparse-sequence-taggers.html	A review of sparse sequence taggers	Libraries	Comparison of discriminative sequence tagging libraries based Conditional Random Fields (allows for any state in the sequence to be considered when making the tagging decision - prone to overfitting and slow) and MaxEnt Markov Models (only considers local context when making the tagging decision - fast and less likely to overfit but weaker features). Stanford Tagger, Mallet, CRF++ and SVM tool are too slow. OpenNLP only has MEMM, CRF Suite only has CRF. OpenNLP has no multi-core support. Wapiti is the best compromise between completeness, efficiency, documentation and accuracy.
2014-11-25	Article	http://blog.dominodatalab.com/using-data-science-to-get-a-good-deal-on-a-macbook	Using Data Science to get a Good Deal on a Macbook	Data Science	Some interesting pragmatic data pre-processing ideas. E.g.: using anomaly detection to remove the need for creating a labelled data set from a classification problem and using LDA to find regular expressions that will cheaply capture some aspects of clusters in the data.
2014-10-25	Book	http://www.amazon.co.uk/dp/0132350882/	Clean Code: A Handbook of Agile Software Craftsmanship	Software Engineering	Lots of good stuff in here about low level things that make code readable. The writing is quite entertaining. Most importantly, the book has lots of examples that make it easy to relate to the concepts that the author is trying to communicate. However, most (if not all) of the stuff in here is very basic and should already be known to anyone who has been writing software professionally for any amount of time. The book probably is a great resource for someone about to start an internship, but beyond that, I question its value.
2014-09-29	Article	http://blog.notdot.net/2010/07/Damn-Cool-Algorithms-Levenshtein-Automata	Damn Cool Algorithms: Levenshtein Automata	Natural Language Processing	There is a way to construct finite state automata that compute the edit distance between two strings. This means that we can compute edit distance in linear time (plus some one-time overhead to construct the automata).
2014-09-29	Article	http://blog.lostpropertyhq.com/postgres-full-text-search-is-good-enough/	Postgres full-text search is Good Enough!	Natural Language Processing	Lots of information retrieval functionality is built into Postgres by default: stemming, spell-checking, TF-IDF vectorization, query ranking, multi-language support, stop-wording, etc. This means we don't need to break out ElasticSearch for smaller scale full-text search.
2014-09-28	Book	http://www.amazon.co.uk/dp/B00DY5A8X2/	Peopleware: Productive Projects and Teams	Management	More of a hand-book for managers than a book about management. Lots of good, common sense advise about the day-to-day of building teams and running projects... But not very useful for non-manager types.
2014-08-29	Paper	http://arxiv.org/pdf/1101.2245v2.pdf	Invertible Bloom Lookup Tables	Computer Science	We can now enumerate the items in a Bloom filter!
2014-08-29	Paper	http://2013.berlinbuzzwords.de/sites/2013.berlinbuzzwords.de/files/slides/DanFilimon.pdf	Clustering data at scale	Machine Learning	Can reformulate K-Means as an (online) Map-Reduce problem.
2014-08-29	Book	http://www.amazon.co.uk/dp/B00B8V09HY/	Effective Java: Second Edition	Software Engineering	Not as mind-blowing as on its first read through, but still lots of good stuff. The first few chapters are a good general read and reminder of some of the important things when writing software. The later chapters (concurrency, serialization, etc.) make for good reference material.
2014-08-29	Article	http://firstround.com/article/What-I-Learned-As-Pandoras-First-Data-Scientist	What I Learned As Pandora's First Data Scientist	Data Science	It's important to have data scientists situated with the product teams - shorter feedback loops, closer to the product, can pitch in on the actual implementation, etc. For a data scientist manager it's important to pair up people with projects that interest them and make sure that there is enough mentoring or peer-learning going on.
2014-08-28	Article	http://jeremykun.com/2014/08/26/when-greedy-algorithms-are-perfect-the-matroid/	When Greedy Algorithms are Perfect: the Matroid	Computer Science	Matroid is a set of independence systems I over X such that any non-maximally independent set can be grown by adding an element from a bigger independent set. If a problem can be formulated as a Matroid then a greedy algorithm will always be optimal.
